0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-3.34375,-6.21875,-2.25,-5.4375,-2.609375,-3.4375,-1.875,-3.203125,-6.28125,-5.65625,-1.875,-3.625,-4.90625,-3.40625,-4.65625,-4.09375,-2.375,-5.25,-3.375,-5.28125,-3.375,-2.625,-5.875,-2.859375,-1.3359375,-2.28125,-2.46875,-4.5,-4.90625,-3.34375,-0.494140625,0.6640625
-4.09375,-4.8125,-4.9375,-3.875,-4.09375,-3.75,-5.3125,-4.84375,-4.40625,-3.109375,-4.6875,-5.03125,-5.3125,-3.96875,-5.8125,-5.15625,-2.640625,-5.15625,-4.09375,-5.6875,-4.09375,-5.28125,-4.9375,-2.109375,-4.09375,-3.1875,-2.828125,-2.984375,-1.8671875,-2.890625,-4.90625,1.234375
-3.328125,-3.625,-4.09375,-4.65625,-4.71875,-3.015625,-5.40625,-5.15625,-1.9609375,-3.265625,-2.828125,-5.53125,-1.8984375,-4.875,-5.59375,-3.984375,-4.65625,-4.40625,-2.40625,-5.75,-2.609375,-4.5,-4.9375,-2.046875,-4.1875,-2.78125,-0.6875,-3.109375,-4.75,-1.1171875,-0.51171875,-4.78125
-3.984375,-4.90625,-4.25,-5.125,-4.6875,-5.59375,-3.046875,-3.484375,-1.78125,-4.25,-4.5,-5.375,-2.328125,-4.90625,-2.5625,-4.78125,-4.6875,-4.65625,-4.34375,-5.78125,-3.234375,-5.09375,-4.09375,-1.78125,-4.71875,-5.15625,-4.8125,-3.109375,-4.1875,-2.453125,0.91796875,-3.9375
-4.03125,-3.546875,-5.15625,-3.453125,-3.203125,-3.359375,-3.15625,-4.28125,-4.96875,-6.90625,-4.15625,-4.09375,-5.84375,-4.9375,-3.9375,-4.78125,-4.125,-3.78125,-3.0625,-2.421875,-3.953125,-3.46875,-1.828125,-5.53125,-5.0625,-3.90625,-4.09375,-4.6875,-4.59375,-4.375,-4.4375,-3.03125
-4.0625,-4.6875,-4.4375,-3.578125,-3.984375,-4.75,-3.625,-4.78125,-3.484375,-5.40625,-3.5,-2.734375,-2.796875,-4.8125,-3.390625,-6.40625,-5.4375,-2.59375,-3.359375,-5.28125,-2.015625,-3.0625,-4.8125,-4.71875,-1.2421875,-0.640625,-0.4375,-1.875,-4.46875,-4.5,-2.828125,-1.171875
-4.96875,-4.78125,-4.78125,-3.921875,-5.6875,-5.0,-3.921875,-3.484375,-3.015625,-4.9375,-5.15625,-5.34375,-2.484375,-4.1875,-3.1875,-3.734375,-5.65625,-3.203125,-4.71875,-4.34375,-5.625,-3.96875,-4.15625,-4.09375,-4.65625,-4.75,-4.9375,-4.65625,-3.9375,-3.90625,-1.203125,-1.4453125
-4.65625,-5.53125,-4.21875,-3.625,-4.59375,-4.0625,-5.375,-3.359375,-2.484375,-4.53125,-2.75,-4.59375,-3.1875,-2.25,-5.03125,-5.21875,-3.484375,-3.4375,-6.34375,-5.125,-5.1875,-3.25,-4.9375,-3.40625,-0.98046875,-0.48046875,-2.421875,-4.09375,-2.234375,-3.53125,-4.46875,-2.984375
-3.671875,-3.890625,-2.265625,-3.703125,-5.34375,-4.59375,-3.515625,-3.578125,-5.15625,-5.96875,-2.265625,-1.7109375,-4.53125,-4.875,-4.15625,-4.03125,-4.21875,-2.734375,-4.5,-5.71875,-2.65625,-5.0,-4.78125,-5.21875,-4.59375,-4.5,-1.7109375,-4.84375,-3.40625,-3.8125,-3.6875,-3.625
-4.125,-4.0,-4.125,-3.890625,-5.46875,-5.15625,-5.28125,-4.15625,-4.15625,-4.4375,-2.640625,-1.8984375,-2.765625,-1.2890625,-5.0625,-3.734375,-5.03125,-5.0,-2.546875,-3.46875,-5.625,-2.984375,-4.09375,-5.125,-4.6875,-1.8984375,-5.46875,-4.90625,-4.71875,0.470703125,-3.859375,-2.921875
